135 000,2013,160 000 - 169 999,Diesel,Peugeot,508,
53 000,2008,35 000 - 39 999,Diesel,Renault,Clio,
59 000,2007,180 000 - 189 999,Diesel,Citroen,C3,6 CV
88 000,2010,35 000 - 39 999,Diesel,Mercedes-Benz,220,
60 000,2009,130 000 - 139 999,Petrol,Ford,Fiesta,7 CV
67 000,2006,100 000 - 109 999,Petrol,Nissan,Murano,20 CV
73 000,2007,10 000 - 14 999,Diesel,Peugeot,Partner,
68 000,2003,250 000 - 299 999,Diesel,Renault,Scenic,
78 000,2014,110 000 - 119 999,Diesel,Fiat,Punto,5 CV
40 000,2001,170 000 - 179 999,Diesel,Fiat,Palio,7 CV
143 000,2015,65 000 - 69 999,Diesel,Skoda,RAPID,6 CV
275 000,2015,130 000 - 139 999,Diesel,Hyundai,Santa Fe,
118 000,2015,85 000 - 89 999,Diesel,Renault,Fluence,
92 000,2009,25 000 - 29 999,Diesel,Kia,Sorento,
89 000,2014,75 000 - 79 999,Diesel,Dacia,Logan,6 CV
75 000,2009,120 000 - 129 999,Petrol,Opel,Corsa,7 CV
53 000,2008,30 000 - 34 999,Diesel,Renault,Clio,
58 000,1993,200 000 - 249 999,Diesel,Mercedes-Benz,190,8 CV
37 000,2001,30 000 - 34 999,Petrol,Peugeot,406,
85 000,2002,200 000 - 249 999,Diesel,Volkswagen,Passat,
89 000,2007,120 000 - 129 999,Petrol,mini,cooper,8 CV
48 000,2001,100 000 - 109 999,Diesel,Seat,Ibiza,8 CV
203 000,2014,170 000 - 179 999,Diesel,Volkswagen,GOLF 7,
32 000,1999,120 000 - 129 999,Petrol,Fiat,Palio,
140 000,2007,25 000 - 29 999,Diesel,Isuzu,D-MAX,
65 000,2008,110 000 - 119 999,Petrol,Fiat,Punto,7 CV
70 000,2006,5 000 - 9 999,Diesel,Peugeot,206,
120 000,2006,0 - 4 999,Diesel,Mercedes-Benz,Classe B,
83 000,1999,20 000 - 24 999,Diesel,Volkswagen,GOLF 4,
125 000,2009,170 000 - 179 999,Diesel,Volkswagen,Passat,8 CV
58 000,1995,10 000 - 14 999,Diesel,Volkswagen,GOLF 3,
168 000,2014,50 000 - 54 999,Diesel,Honda,Accord,
105 000,2014,110 000 - 119 999,Diesel,Dacia,Duster,
